Ticker,Company_Name,Health_Score,CCR_TTM,FCF_Status,FCF_Value,FCF_Yield,FCF_Yield_Status,Margin_Stability,Stability_Status,Asset_Growth,Asset_Growth_Status,Sloan_Ratio,Sloan_Status,Inv_Days,Inv_Days_Change,Inv_Risk,Health_Rating,Score_Details,Score_V1,Result_Tag_V1
2308.TW,台達電,85,1.28,✅ 正流入,82021.38,0.01,⚡ 偏低 (0-2%),,有效季數不足,13.02,⚡ 適度擴張 (10-20%),-0.0169,🏆 優秀 (現金流強勁),67.6,-12.6,✅ 健康 (改善),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": 0}",110,💎💎💎 SSS級隱藏寶石
3481.TW,群創,90,1.59,✅ 正流入,19116.17,0.04,⚡ 偏低 (0-2%),,有效季數不足,-7.17,🏆 收縮 (<0%，謹慎經營),-0.0248,🏆 優秀 (現金流強勁),51.3,-0.8,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",100,💎💎💎 SSS級隱藏寶石
2360.TW,致茂,7,0.54,✅ 正流入,4697.72,0.0,⚡ 偏低 (0-2%),,有效季數不足,21.72,⚠️ 高速擴張 (20-40%),0.1796,⚠️ 高風險 (財務虛胖),167.9,10.8,⚡ 留意 (微升),🛑 D級：高風險 (財務虛胖),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -30, ""inv_penalty"": -5, ""stability_bonus"": 0, ""asset_growth_bonus"": -8}",100,💎💎💎 SSS級隱藏寶石
3036.TW,文曄,75,2.89,✅ 正流入,38647.35,0.08,⚡ 偏低 (0-2%),,有效季數不足,16.77,⚡ 適度擴張 (10-20%),-0.0485,🏆 優秀 (現金流強勁),45.7,8.0,⚡ 留意 (微升),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": -5, ""stability_bonus"": 0, ""asset_growth_bonus"": 0}",90,💎💎 S級：法人共識潛力股
2887.TW,台新金,35,-0.57,⚠️ 負流出 (擴產),-39082.23,-0.01,⚠️ 負值 (-5~0%),,有效季數不足,163.02,🚫 過度擴張 (>40%),0.0079,✅ 健康,,,不適用 (無存貨),🛑 D級：高風險,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": -15}",80,💎💎 S級：強勢潛力股
2883.TW,凱基金,55,0.66,⚠️ 負流出 (擴產),-15852.72,0.03,⚡ 偏低 (0-2%),,有效季數不足,0.45,✅ 穩健 (0-10%),0.0105,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",80,💎💎 S級：價值轉機股
2882.TW,國泰金,55,0.29,✅ 正流入,85135.68,0.01,⚡ 偏低 (0-2%),,有效季數不足,6.99,✅ 穩健 (0-10%),0.0002,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",80,💎💎 S級：強勢潛力股
2881.TW,富邦金,55,0.69,✅ 正流入,84408.69,0.03,⚡ 偏低 (0-2%),,有效季數不足,4.97,✅ 穩健 (0-10%),0.0045,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",80,💎💎 S級：強勢潛力股
2880.TW,華南金,55,0.47,✅ 正流入,81.84,0.01,⚡ 偏低 (0-2%),,有效季數不足,1.31,✅ 穩健 (0-10%),0.0074,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",75,💎 A級：籌碼卡位型
2845.TW,遠東銀,55,-1.41,⚠️ 負流出 (擴產),-22685.32,-0.04,⚠️ 負值 (-5~0%),,有效季數不足,4.05,✅ 穩健 (0-10%),0.0307,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",70,💎 A級：營收爆發型
2809.TW,京城銀,90,1.1,✅ 正流入,12483.67,0.04,⚡ 偏低 (0-2%),,有效季數不足,-5.05,🏆 收縮 (<0%，謹慎經營),-0.0199,🏆 優秀 (現金流強勁),,,不適用 (無存貨),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",70,💎 A級：潛力關注
2317.TW,鴻海,50,0.55,✅ 正流入,135126.76,0.02,⚡ 偏低 (0-2%),,有效季數不足,14.56,⚡ 適度擴張 (10-20%),0.0285,✅ 健康,39.5,2.9,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 0}",70,💎 A級：潛力關注
1102.TW,亞泥,90,1.51,✅ 正流入,17977.11,0.07,⚡ 偏低 (0-2%),,有效季數不足,-3.47,🏆 收縮 (<0%，謹慎經營),-0.009,🏆 優秀 (現金流強勁),31.3,0.6,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",70,💎 A級：潛力關注
4904.TW,遠傳,90,1.99,✅ 正流入,31288.12,0.04,⚡ 偏低 (0-2%),,有效季數不足,-3.17,🏆 收縮 (<0%，謹慎經營),-0.0797,🏆 優秀 (現金流強勁),11.2,0.3,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",65,💎 A級：籌碼卡位型
2324.TW,仁寶,90,2.82,✅ 正流入,50810.68,0.11,⚡ 偏低 (0-2%),,有效季數不足,-6.49,🏆 收縮 (<0%，謹慎經營),-0.0948,🏆 優秀 (現金流強勁),31.7,-0.2,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",65,💎 A級：籌碼卡位型
3023.TW,信邦,65,0.72,✅ 正流入,3511.25,0.02,⚡ 偏低 (0-2%),,有效季數不足,0.03,✅ 穩健 (0-10%),0.0198,✅ 健康,80.3,-25.4,🏆 優秀 (大幅改善),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 10, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",65,💎 A級：籌碼卡位型
2889.TW,國票金,85,5.15,✅ 正流入,21646.88,0.11,⚡ 偏低 (0-2%),,有效季數不足,3.21,✅ 穩健 (0-10%),-0.0424,🏆 優秀 (現金流強勁),,,不適用 (無存貨),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",65,💎 A級：籌碼卡位型
9921.TW,巨大,100,7.07,✅ 正流入,8400.83,0.11,⚡ 偏低 (0-2%),,有效季數不足,-14.7,🏆 收縮 (<0%，謹慎經營),-0.1129,🏆 優秀 (現金流強勁),127.5,-22.5,🏆 優秀 (大幅改善),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 10, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",65,💎 A級：籌碼卡位型
1503.TW,士電,60,0.67,✅ 正流入,2868.29,0.01,⚡ 偏低 (0-2%),,有效季數不足,-1.44,🏆 收縮 (<0%，謹慎經營),0.0232,✅ 健康,98.6,5.0,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",65,💎 A級：籌碼卡位型
2890.TW,永豐金,85,2.15,✅ 正流入,38268.15,0.06,⚡ 偏低 (0-2%),,有效季數不足,4.85,✅ 穩健 (0-10%),-0.0027,🏆 優秀 (現金流強勁),,,不適用 (無存貨),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",65,💎 A級：籌碼卡位型
2884.TW,玉山金,75,1.21,✅ 正流入,12049.76,0.03,⚡ 偏低 (0-2%),,有效季數不足,9.37,✅ 穩健 (0-10%),0.0061,✅ 健康,,,不適用 (無存貨),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",65,💎 A級：籌碼卡位型
2891.TW,中信金,55,-0.28,✅ 正流入,25450.92,-0.01,⚠️ 負值 (-5~0%),,有效季數不足,3.93,✅ 穩健 (0-10%),0.0068,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",65,💎 A級：籌碼卡位型
1609.TW,大亞,55,0.11,✅ 正流入,722.44,0.0,⚡ 偏低 (0-2%),,有效季數不足,7.41,✅ 穩健 (0-10%),0.0282,✅ 健康,73.3,3.5,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",60,💎 A級：籌碼卡位型
2801.TW,彰銀,55,-1.83,⚠️ 負流出 (擴產),-35039.28,-0.06,⚠️ 負值 (-5~0%),,有效季數不足,5.94,✅ 穩健 (0-10%),0.0168,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",55,⭐ B級：觀察名單
2834.TW,臺企銀,55,-1.19,✅ 正流入,154.13,-0.05,⚠️ 負值 (-5~0%),,有效季數不足,6.03,✅ 穩健 (0-10%),0.006,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",55,⭐ B級：觀察名單
5880.TW,合庫金,65,0.16,✅ 正流入,30887.86,0.0,⚡ 偏低 (0-2%),,有效季數不足,7.06,✅ 穩健 (0-10%),-0.0012,🏆 優秀 (現金流強勁),,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",55,⭐ B級：觀察名單
2885.TW,元大金,55,-0.37,✅ 正流入,30636.67,-0.01,⚠️ 負值 (-5~0%),,有效季數不足,8.77,✅ 穩健 (0-10%),0.0036,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",55,⭐ B級：觀察名單
2892.TW,第一金,55,-0.41,⚠️ 負流出 (擴產),-4567.41,-0.01,⚠️ 負值 (-5~0%),,有效季數不足,5.86,✅ 穩健 (0-10%),0.0075,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",55,⭐ B級：觀察名單
2886.TW,兆豐金,65,0.64,✅ 正流入,123019.83,0.02,⚡ 偏低 (0-2%),,有效季數不足,4.18,✅ 穩健 (0-10%),-0.0176,🏆 優秀 (現金流強勁),,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",55,⭐ B級：觀察名單
5876.TW,上海商銀,60,-2.07,⚠️ 負流出 (擴產),-97905.91,-0.08,⚠️ 負值 (-5~0%),,有效季數不足,-1.54,🏆 收縮 (<0%，謹慎經營),0.0485,✅ 健康,,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",55,⭐ B級：觀察名單
